,songs_id,songs_name,artist_name,artist_id,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,artist_genre
16,5p0ietGkLNEqx1Z7ijkw5g,My Love,['Westlife'],['5Z1CCuBsyhEHngq3U5IraY'],2000,0.491,0.593,0,-5.975,1,0.0255,0.098,0.0,0.257,0.328,144.142,231760,4,"['boy band', 'dance pop', 'europop']"
17,0w07a1vsKahQMM0RnPXHVT,Dancing in the Moonlight,['Toploader'],['6xeFne1rkxMhKSW3ipvkdV'],2000,0.632,0.856,0,-3.453,0,0.0358,0.0568,0.0,0.35,0.843,119.404,232693,4,['british alternative rock']
18,1uPrIHgYztXSkkcts9jet8,She Bangs - English Version,['Ricky Martin'],['7slfeZO9LsJbWgpkIoXBUJ'],2000,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,280627,4,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop', 'tropical']"
19,6iiaDMXr1eqnSEH9W4DLYC,Shalala Lala,['Vengaboys'],['0cwmNvclzPd8mQnoHuIksj'],2000,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,214819,4,"['bubblegum dance', 'dance pop', 'eurodance', 'europop']"
20,5s4catxeZsaWFnOrvrXZHf,That's the Way It Is,['Céline Dion'],['4S9EykWXhStSc15wEx8QFK'],2000,0.634,0.886,9,-5.424,1,0.0434,0.154,0.0,0.118,0.577,93.04,241373,4,"['canadian pop', 'dance pop']"
21,3eXI3pYpiY1nRwhvW0c8Qi,Spinning Around,['Kylie Minogue'],['4RVnAU35WRWra6OZ3CbbMA'],2000,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,207867,4,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']"
22,583xVl0Sbj93uU4ceixgU8,I'm Outta Love - Radio Edit,['Anastacia'],['2siHvYaxjaW5rKVRiIrMYH'],2000,0.761,0.716,10,-5.8,0,0.056,0.398,0.0,0.0771,0.649,119.406,245400,4,['dance pop']
23,2Dp2LRrY71XIfLe3co2Qnh,This I Promise You,['*NSYNC'],['6Ff53KvcvAj5U7Z1vojB5o'],2000,0.55,0.581,2,-6.253,1,0.0325,0.367,0.0,0.122,0.475,165.981,283507,4,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
24,4l1MNtoCiTxBwf6yxD7kFd,Born to Make You Happy,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],2000,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,243533,4,"['dance pop', 'pop', 'post-teen pop']"
25,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1","[""Destiny's Child""]",['1Y8cdNmUJH7yBTd9yOvr5i'],2000,0.73,0.602,6,-3.782,0,0.206,0.362,3.69e-06,0.169,0.927,97.954,221133,4,"['dance pop', 'girl group', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
26,3afv9TL8ixr4T9VbiKnrwe,American Pie,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2000,0.631,0.734,5,-7.48,0,0.036,0.348,0.0,0.135,0.591,124.036,273533,4,"['dance pop', 'europop', 'pop']"
27,5bGmuxShUba9maPswDnhCs,What a Girl Wants,['Christina Aguilera'],['1l7ZsJRRS8wlW3WfJfPfNS'],2000,0.754,0.819,0,-6.833,1,0.112,0.0684,0.0,0.345,0.818,142.137,215800,4,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
28,1f6tOvu5LoYkPMrBhIkywm,Gotta Tell You,['Samantha Mumba'],['7L12TqJ0fbwtFljTbwfwRI'],2000,0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981,201947,4,"['bubblegum dance', 'dance pop', 'europop']"
29,5h9etcHD1K0OTljIAIw0Kh,Fool Again,['Westlife'],['5Z1CCuBsyhEHngq3U5IraY'],2000,0.532,0.526,4,-6.812,1,0.0292,0.0468,0.0,0.053,0.536,75.996,235067,4,"['boy band', 'dance pop', 'europop']"
30,046MBhhgQJJghnbgZCkaAR,I Need You,['LeAnn Rimes'],['2d3VHzlOEwXvmBdS4pzOPL'],2000,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,229827,4,"['country', 'country dawn', 'dance pop', 'pop rock']"
31,7JKEA8xYDoFp4q0QBW2PGg,Shackles (Praise You),['Mary Mary'],['12Kgt2eahvxNWhD5PnSUde'],2000,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,198347,4,"['gospel', 'gospel r&b', 'r&b', 'urban contemporary']"
32,35zGjsxI020C2NPKp2fzS7,It's Gonna Be Me,['*NSYNC'],['6Ff53KvcvAj5U7Z1vojB5o'],2000,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,191040,4,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
33,79EAVfOpzgfHx3IE2BVFQv,Never Be The Same Again,"['Melanie C', 'Lisa ""Left Eye"" Lopes']","['60vX3zLcdKRXvKLITVh5Df', '64ccradw8gAQn9gMQZmEha']",2000,0.689,0.685,3,-5.153,1,0.0478,0.0921,0.0,0.119,0.398,160.067,294200,4,"['bubblegum dance', 'dance pop', 'electropop', 'europop', 'new wave pop', 'pop rock']"
34,3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,['Backstreet Boys'],['5rSXSAkZ67PYJSvpUpkOr7'],2000,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998,234960,4,"['boy band', 'dance pop']"
35,3dfW4YCs9Wvm83csZRpmbA,Against All Odds (Take A Look at Me Now) (feat. Westlife),"['Mariah Carey', 'Westlife']","['4iHNK0tOyZPYnBU7nGAgpQ', '5Z1CCuBsyhEHngq3U5IraY']",2000,0.471,0.514,1,-5.599,1,0.0315,0.584,0.0,0.103,0.373,117.338,199480,4,"['dance pop', 'pop', 'urban contemporary']"
36,2N4viTG9njqCa4c46YyWs1,Be With You,['Enrique Iglesias'],['7qG3b048QCHVRO5Pv1T5lw'],2000,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,219360,4,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']"
37,6qc34bnVOyqGDPni8H5W0U,Amazed,['Lonestar'],['3qbnxnvUqR14MJ9g8QwZJK'],2000,0.561,0.543,1,-8.498,1,0.0324,0.26,0.0,0.124,0.243,139.803,240867,4,"['contemporary country', 'country', 'country road']"
38,4Do68W4FWO2hRAJCzG1lus,I Turn to You,['Christina Aguilera'],['1l7ZsJRRS8wlW3WfJfPfNS'],2000,0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,273707,4,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
39,25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,['Wheatus'],['4mYFgEjpQT4IKOrjOUKyXu'],2000,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,241667,4,['pop rock']
40,4fazGt0v2v2zkzddQOcDZD,Don't Call Me Baby,['Madison Avenue'],['6otgz5gkB40UnWFwTy0VDh'],2000,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,228140,4,"['disco house', 'vocal house']"
41,1RS3LStQYhju50eBdD9Uul,Thank God I Found You (feat. Joe & 98°),"['Mariah Carey', 'Joe', '98º']","['4iHNK0tOyZPYnBU7nGAgpQ', '3zTOe1BtyTkwNvYZOxXktX', '6V03b3Y36lolYP2orXn8mV']",2000,0.348,0.532,10,-5.882,1,0.0331,0.592,0.0,0.106,0.148,129.297,257360,4,"['dance pop', 'pop', 'urban contemporary']"
42,63nkNgHkmfgjElTEnCzKYU,Rise,['Gabrielle'],['7rftfGIYEeZ79sLb58ZBDi'],2000,0.558,0.481,8,-9.487,1,0.026,0.315,8.83e-06,0.09,0.631,144.673,219093,4,"['british soul', 'dance pop', 'europop', 'new wave pop', 'pop rock']"
43,6ZLGthToczpvnL5Eoy6yrY,Pure Shores,['All Saints'],['5TDVKqW9uhqGjwwwKGuma4'],2000,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,268747,4,"['bubblegum dance', 'dance pop', 'europop', 'girl group', 'new wave pop', 'pop rock']"
44,0HNXnhNZZtRZFLhP4hfyCP,HEY BABY - Radio Mix,['DJ Ötzi'],['0DR4z5jMA1eqx0CmHBUpkr'],2000,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099,219240,4,"['bubblegum dance', 'classic schlager', 'oktoberfest', 'partyschlager', 'schlager']"
45,2fzykVsO2Di5jnofUNX3YE,Music,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2000,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,225973,4,"['dance pop', 'europop', 'pop']"
46,0gzqZ9d1jIKo9psEIthwXe,Beautiful Day,['U2'],['51Blml2LZPmy7TTiAg47vQ'],2000,0.536,0.928,11,-6.492,0,0.0589,0.0154,0.00134,0.2,0.389,136.258,248400,4,"['irish rock', 'permanent wave', 'rock']"
47,1C2Q3AymKS17bw7T5gfq6p,Dance with Me,['Debelah Morgan'],['0tRRrNLQY5rejEDVSjy4w3'],2000,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,220107,4,"['hip pop', 'urban contemporary']"
48,1Le4SDanBrX8OtmnnyTNrh,I Turn To You,['Melanie C'],['60vX3zLcdKRXvKLITVh5Df'],2000,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,352173,4,"['bubblegum dance', 'dance pop', 'electropop', 'europop', 'new wave pop', 'pop rock']"
49,6vgN6KGstss0GnBbKlMNK9,The Way You Love Me,['Faith Hill'],['25NQNriVT2YbSW80ILRWJa'],2000,0.627,0.716,2,-7.175,1,0.0352,0.127,0.0,0.0344,0.734,101.99,186067,4,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']"
50,3AJwUDP919kvQ9QcozQPxg,Yellow,['Coldplay'],['4gzpq5DPGxSnKTe4SA8HAU'],2000,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,"['permanent wave', 'pop']"
51,60g4sp8i3gXSb1EkphMl1g,Crash and Burn,['Savage Garden'],['3NRFinRTEqUCfaTTZmk8ek'],2000,0.581,0.607,4,-8.458,1,0.028,0.189,1.6e-06,0.0882,0.213,102.03,281467,4,"['australian pop', 'boy band', 'dance pop', 'europop', 'pop rock']"
52,7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,['Toni Braxton'],['3X458ddYA2YcVWuVIGGOYe'],2000,0.739,0.947,11,-1.915,0,0.0412,0.00947,2.99e-05,0.326,0.763,88.009,261933,4,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
53,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'","[""Destiny's Child""]",['1Y8cdNmUJH7yBTd9yOvr5i'],2000,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200,4,"['dance pop', 'girl group', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
54,0UzsDmdpw0Q14KU4hieQss,Fill Me In,['Craig David'],['2JyWXPbkqI5ZJa3gwqVa0c'],2000,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,257200,4,"['british soul', 'dance pop', 'pop rap', 'r&b', 'urban contemporary']"
55,4Y8q64VnhD0vFYy9g2WFpi,It Feels So Good,['Sonique'],['5xtqw2B8z8JGfDYi2eAZHI'],2000,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,240867,4,['eurodance']
56,4D6bsg0MqGF0PIZLgDydWp,Back Here,['BBMAK'],['7y1GT7SdgGiFLWoktv2TSw'],2000,0.623,0.909,7,-4.78,1,0.0312,0.0717,3.17e-05,0.0579,0.958,104.617,221653,4,['boy band']
57,2dwhMQsFeHr2S787WxqAqW,You Sang To Me,['Marc Anthony'],['4wLXwxDeWQ8mtUIRPxGiD6'],2000,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,347107,4,"['latin', 'latin pop', 'modern salsa', 'salsa', 'tropical']"
58,487Dyzs7Xbbk4hIWYyYT80,Don't Think I'm Not,['Kandi'],['0ThrQemMA2B8xxusTUl8IM'],2000,0.859,0.622,11,-8.196,1,0.0445,0.0661,0.0,0.0394,0.433,134.007,243533,4,"['hip pop', 'r&b', 'urban contemporary']"
59,7GHKA8GIMcND6c5nN1sFnD,Sexbomb,"['Tom Jones', 'Mousse T.']","['1T0wRBO0CK0vK8ouUMqEl5', '5N6EzjkOoyABhNZJggeXi6']",2000,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38e-05,0.104,0.932,122.979,211893,4,"['adult standards', 'british invasion', 'mellow gold']"
60,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,['Lee Ann Womack'],['738OS3zrCO782uDiUN9pet'],2000,0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278,294533,4,"['contemporary country', 'country', 'country dawn', 'country road']"
61,3G6hxSp260RzGw4sOiDOQ3,Case Of The Ex (Whatcha Gonna Do),['Mýa'],['6lHL3ubAMgSasKjNqKb8HF'],2000,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79e-05,0.0725,0.348,98.0,236907,4,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
62,0gPQTLaqHDgdupKEok7J2x,7 Days,['Craig David'],['2JyWXPbkqI5ZJa3gwqVa0c'],2000,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,235133,4,"['british soul', 'dance pop', 'pop rap', 'r&b', 'urban contemporary']"
63,635PqgECfFbL0MNLogX7Yv,Most Girls,['P!nk'],['1KCSPY1glIKqW2TotWuXOR'],2000,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00444,0.101,0.695,97.923,298960,4,"['dance pop', 'pop', 'post-teen pop']"
64,0zjORbo98bRxMmyS3wzeKW,Don't Give Up,"['Chicane', 'Bryan Adams']","['5GxyeQagayzZOg4UwffQlD', '3Z02hBLubJxuFJfhacLSDc']",2000,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,210787,4,"['progressive house', 'trance', 'uplifting trance']"
65,1H5tvpoApNDxvxDexoaAUo,Who Let The Dogs Out,['Baha Men'],['67FFKYikvTlvsPNk4NPOYJ'],2000,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221,198400,4,['bahamian pop']
66,0ekdT3jOhn3LinWtqHhmsw,Doesn't Really Matter,['Janet Jackson'],['4qwGe91Bz9K2T8jXTZ815W'],2000,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,265027,4,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
67,0pMUR7Uvp6vxlbG0qBFvgM,Better Off Alone,['Alice DJ'],['2tbvDi9eXf9XXp06LupkED'],2000,0.671,0.881,8,-6.149,0,0.0552,0.00185,0.65,0.285,0.785,136.95,214883,4,"['eurodance', 'europop']"
68,6dJ2mSRaKE9ctYw9qWNGWQ,There You Go,['P!nk'],['1KCSPY1glIKqW2TotWuXOR'],2000,0.822,0.847,10,-6.729,0,0.0916,0.0862,0.0,0.0452,0.667,107.906,202800,4,"['dance pop', 'pop', 'post-teen pop']"
69,3w8Mw9GHYepoTWOSdiyosj,Incomplete,['Sisqo'],['6x9QLdzo6eBZxJ1bHsDkjg'],2000,0.746,0.443,1,-7.693,0,0.0771,0.282,0.0,0.14,0.272,119.311,274227,4,"['hip hop', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary']"
70,2Np6ZbVFXfhlk3Oin6i92t,Flowers - Sunship Edit,['Sweet Female Attitude'],['1054JdBVMCPm9VpvkUcOYX'],2000,0.746,0.965,0,-5.263,0,0.113,0.38,0.00547,0.621,0.915,131.861,230133,4,"['bassline', 'uk garage']"
71,3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,['Nine Days'],['306JHpIRGVaQd6OltnOzUO'],2000,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,189333,4,"['neo mellow', 'pop rock']"
72,4xGuK7FsXuZwHCCuNnPzbD,L'Amour Toujours,"[""Gigi D'Agostino""]",['1OAjDaKgg00KCUYqDe68un'],2000,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,238760,4,"['eurodance', 'europop', 'italo dance']"
73,49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,['Modjo'],['0AkpPlFLnr0VQwZQeMGht0'],2000,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,307154,4,"['disco house', 'filter house']"
74,3XKIUb7HzIF1Vu9usunMzc,Maria Maria (feat. The Product G&B),"['Santana', 'The Product G&B']","['6GI52t8N5F02MxU0g5U69P', '782IpIScTpnDhYb9hyxOu1']",2000,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973,4,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']"
75,0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,['Creed'],['43sZBwHjahUvgbx1WNIkIz'],2000,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,274800,4,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
76,3NEzjZbeSCy72Kx1clSYgC,Wifey,['Next'],['2MGT7CYlixSPxAnnkhLpaA'],2000,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581,243159,4,"['boy band', 'hip hop', 'hip pop', 'minneapolis sound', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']"
77,6dp3XPQJuC7qP7TaEFVgL5,Try Again,['Aaliyah'],['0urTpYCsixqZwgNTkPJOJ4'],2000,0.797,0.622,6,-5.642,0,0.29,0.0807,0.0,0.0841,0.731,93.02,284000,4,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
78,60a0Rd6pjrkxjPbaKzXjfq,In the End,['Linkin Park'],['6XyY86QOPPrYVGvF9ch6wz'],2000,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880,4,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
79,6fA7akEuTUL3dW1V0GELaZ,Bent,['Matchbox Twenty'],['3Ngh2zDBRPEriyxQDAMKd1'],2000,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,256133,4,"['neo mellow', 'pop rock', 'post-grunge']"
80,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),['Nelly'],['2gBjLmx6zQnFGQJCAQpRgw'],2000,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831,287000,4,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
81,1m2xMsxbtxv21Brome189p,I Wanna Know,['Joe'],['3zTOe1BtyTkwNvYZOxXktX'],2000,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,296693,4,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary']"
82,47xLbuUdmD03ATrke934S1,Freestyler,"[""Bomfunk MC's""]",['0NeC6ploeJUq8oDwYQjNPS'],2000,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,306333,4,"['bubblegum dance', 'eurodance', 'europop']"
83,3cqZlRpC4lOnxUE7HE3N5k,Move Your Body - Gabry Ponte Original Radio Edit,"['Eiffel 65', 'Gabry Ponte']","['64rxQRJsLgZwHHyWKB8fiF', '5ENS85nZShljwNgg4wFD7D']",2000,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,268864,4,"['bubblegum dance', 'eurodance', 'europop', 'italian adult pop', 'italo dance']"
84,3zYufmyv6HOuiHn1eMR6Ja,Desert Rose,"['Sting', 'Cheb Mami']","['0Ty63ceoRnnJKVEYP0VQpk', '6vZXamchcIOKzC1c3Elp4J']",2000,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989,285960,4,"['permanent wave', 'soft rock', 'sophisti-pop']"
85,1ZozJfi8u9cO2Ob8KwiwNT,Higher,['Creed'],['43sZBwHjahUvgbx1WNIkIz'],2000,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,316733,4,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
86,4cKGldbhGJniI8BrB3K6tb,Everything You Want,['Vertical Horizon'],['6Hizgjo92FnMp8wGaRUNTn'],2000,0.636,0.761,3,-6.389,0,0.0306,0.0517,0.0,0.0642,0.736,93.896,257067,4,"['neo mellow', 'pop rock', 'post-grunge']"
87,6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,['Darude'],['0LhHRmSd1EYM5QdNeNnCoQ'],2000,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,225493,4,"['eurodance', 'europop', 'finnish edm']"
88,4hN1YXd11OLuCVAGyawbgz,Go Let It Out,['Oasis'],['2DaxqgrOhkeH0fpeiQq2f4'],2000,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51e-05,0.56,0.628,84.192,278667,4,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
89,1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,['Third Eye Blind'],['6TcnmlCSxihzWOQJ8k0rNS'],2000,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240,4,"['alternative rock', 'neo mellow', 'pop rock', 'post-grunge', 'rock']"
90,0IvTGWbNnCiUi9IOF7ye3F,I Like It,"['Sammie', 'JT Money']","['4p07QU02SrLsaORo25h2Lg', '1pJhCUTEZhR4nYeemYlkVz']",2000,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,251040,4,"['hip pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
